Nummer;Alter;Geschlecht;Abschluss;Ausbildung;Beruf;Feld;Berufserfahrung;Vorkenntnisse;lesen;erstellen;dekl. lesen;dekl. erstellen;Erfahrung PM;Erfahrung dekl.;Start ;Beginn;Reihenfolge 1;Reihenfolge 2;1.1a Zeit;1.1a Bewertung;1.2a Zeit;1.2a Bewertung;1.2b Zeit;1.2b Bewertung;1.3a Zeit;1.3a Bewertung;1.3b Zeit;1.3b Bewertung;1.3c Zeit;1.3c Bewertung;2.1a Zeit;2.1a Bewertung;2.2a Zeit;2.2a Bewertung;2.2b Zeit;2.2b Bewertung;2.3a Zeit;2.3a Bewertung;2.3b Zeit;2.3b Bewertung;2.3c Zeit;2.3c Bewertung;1. Fehlerbeschreibung;2. Fehlerbeschreibung;Angabenzettel verwendet;Anstrengung ohne;Anstrengung mit
1;27;w;Master;Gesundheitsökonomie;Studentin;Gesundheitsökonomie;2;nein;;;;;;;o;2;321;231;25;5;15;2;30;2;35;7;40;4;45;1;35;1;10;2;20;2;80;0;120;1;40;0;3a) leeres Wort nicht erkannt 3c) falsche Vorgehensweise;"leeres Wort vergessen; Zeichen ""I"" nichtr berücksichtigt; oftmals nur einzelne Regeln geprüft";nein;75;40
2;31;w;Master;Informatik;wiss. Mitarbeiterin;Prozessmanagement;3;ja;ja;ja;ja;nein;4;0,5;o;2;231;132;35;5;20;2;15;2;38;8;40;3;90;1;56;4;55;0;110;2;300;7;150;2;115;2;bei Länge 4 wurde auch Länge 3 angegeben 3c) falsche Herangehensweise;"einige Zeichenketten wurden vergessen; teilweise einzelne Regeln vergessen";nein;118;40
3;31;m;Master;Chemie;wiss. Mitarbeiter;Chemie;4;ja;ja;nein;nein;nein;0;;m;2;123;132;90;5;70;2;90;2;130;4;130;4;30;2;37;4;35;2;20;2;30;6;80;5;160;0;"""E"" wurde übersehen";"leeres Wort übersehen (3a); schaut Putput nicht genau an; 3c) falsches Vorgehen";nein;40;30
4;31;m;Master;Informatik;wiss. Mitarbeiter;Prozessmanagement;4;ja;ja;ja;ja;ja;5;5;m;2;123;312;40;5;50;2;22;2;90;3;80;3;10;2;15;4;17;2;10;2;27;7;28;5;70;2;"3a) alles mit ""E"" vergessen; 3b) ""DECE"" vergessen";"3b) Länge 3 wurde dazu gesagt; 3c) Methode mit allen Zeichen gestartet und vervollst.";nein;90;40
5;28;m;Bachelor;Jura;Geschäftsführung GmbH;Sport;2;nein;;;;;;;m;1;321;213;16;5;25;2;15;2;30;8;30;4;80;1;60;1;40;2;27;0;90;5;120;4;26;2;3c) mit Zeichenkette prüfen und Regeln gelöst;"falsche Fortsetzung bei 2b); 1a) falsch bei Regeln, die mehrfach gelten; 3a) ""IH"" und ""HI"" vergessen 3b) ""HG"" und ""GH"" vergessen";ja;100;20
6;29;m;Master;Informatik;wiss. Mitarbeiter;Machine Learning, NLP;2;ja;ja;ja;nein;nein;4;;o;2;312;213;15;5;17;2;14;2;22;8;17;4;40;2;30;4;50;2;35;2;180;5;180;5;150;0;;"3a) ""HH"" und ""II"" vergessen; 3b) ""FGFH"" vergessen; 3c) Wort der Länge 5 wurde angegeben";nein;153;20
7;30;m;Master;Informatik;wiss. Mitarbeiter;Datenmanagement;3;ja;ja;ja;ja;nein;1;0;o;2;132;312;18;5;15;2;8;2;28;8;24;3;85;0;44;4;32;2;12;2;65;1;130;2;44;0;"3b) Zeichenkette der Länge 3 mit angegeben; Länge 4 bei 3c) angegeben";"3a) nur leeres Wort genannt,""H,I"": Zeichen nicht beachtet; 3b) einige vergessen, ""FG"" falsch; 3c) ""FHG"" wurde angegeben";ja;110;45
8;26;w;Real / Mittelschule;medizinische Fachangestellte;Arzthelferin;Medizin;10;ja;ja;ja;nein;nein;2;;o;2;231;312;50;5;90;2;20;2;70;8;70;3;60;1;60;0;130;1;50;0;190;0;180;0;180;1;;"3a) viele falsche genannt; 3b) viele falsche genannt; ";nein;155;40
9;31;m;Abitur / Fachabitur;Jura;Student & Angestellter;Jura;2;nein;;;;;;;m;2;213;312;90;4;90;1;120;0;360;1;150;2;65;1;45;4;70;2;24;2;15;6;75;5;140;1;"hat Hilfe gebraucht, um richtige Regln zu finden; Regel 3 wurde bei 1a) falsch interpretiert; 3a) ""CB"" falsch; 3b) ""DEDC"" und ""DECE"" vergessen; 3c) Begründung falsch";"3a) leeres Wort vergessen; 3b) Länge 3 dabei";nein;130;30
10;39;w;Real / Mittelschule;IT-Systemkauffrau;Sekretärin;Organistation des Lehrstuhls;10;ja;ja;ja;nein;nein;2;;o;2;321;132;35;5;17;2;14;2;150;7;60;4;90;2;90;4;50;2;80;2;180;0;80;0;180;0;3a) leeres Wort vergessen;"3a) ""EG"" und ""EF"" genannt, keines richtig; 3b) komplett falsch; response falsch interpretiert";nein;100;40
